Sector,Subsector,Technology,Fuel,Unit,2023
Transport,Passenger cars,EV,Electricity,TJ/million vkm,0.9
Transport,Passenger cars,ICE,Oil,TJ/million vkm,3.7
Transport,Trucks,EV,Electricity,TJ/million vkm,3.3
Transport,Trucks,ICE,Oil,TJ/million vkm,6.5
Transport,Buses,EV,Electricity,TJ/million vkm,4
Transport,Buses,ICE,Oil,TJ/million vkm,10
Transport,2/3 wheelers,EV,Electricity,TJ/million vkm,0.3
Transport,2/3 wheelers,ICE,Oil,TJ/million vkm,1
Transport,Ships,Conventional ship,Oil,TJ/billion tkm,100
Transport,Ships,Ammonia ship,Hydrogen,TJ/billion tkm,100
Transport,Ships,Electric ship,Electricity,TJ/billion tkm,50
Transport,Planes,Conventional plane,Oil,TJ/million pkm,1
Transport,Planes,Electric plane,Electricity,TJ/million pkm,0.5
Transport,Trains,Diesel train,Oil,TJ/billion tkm,200
Transport,Trains,Electric train,Electricity,TJ/billion tkm,100
Transport,Other transport,Conventional,Coal,TJ/Unitless (2023=1),200000
Transport,Other transport,Conventional,Oil,TJ/Unitless (2023=1),1000000
Transport,Other transport,Conventional,Gas,TJ/Unitless (2023=1),4000000
Transport,Other transport,Conventional,Biomass,TJ/Unitless (2023=1),4000000
Transport,Other transport,Conventional,Electricity,TJ/Unitless (2023=1),900000
Transport,Other transport,Electrified,Electricity,TJ/Unitless (2023=1),5500000
Industry,Steel,BF-BOF,Coal,TJ/mt steel,20000
Industry,Steel,BF-BOF,Gas,TJ/mt steel,600
Industry,Steel,BF-BOF,Electricity,TJ/mt steel,1500
Industry,Steel,BF-BOF + CCS,Coal,TJ/mt steel,24000
Industry,Steel,EAF,Electricity,TJ/mt steel,3500
Industry,Steel,DRI-EAF (H2),Hydrogen,TJ/mt steel,4000
Industry,Steel,DRI-EAF (H2),Electricity,TJ/mt steel,3500
Industry,Cement,Conventional kiln,Coal,TJ/mt cement,2400
Industry,Cement,Conventional kiln,Oil,TJ/mt cement,100
Industry,Cement,Conventional kiln,Gas,TJ/mt cement,300
Industry,Cement,Conventional kiln,Biomass,TJ/mt cement,60
Industry,Cement,Conventional + CCS,Coal,TJ/mt cement,3200
Industry,Cement,Electric kiln,Electricity,TJ/mt cement,2200
Industry,Chemicals,Conventional,Coal,TJ/mt chemicals,1090
Industry,Chemicals,Conventional,Oil,TJ/mt chemicals,30
Industry,Chemicals,Conventional,Gas,TJ/mt chemicals,1660
Industry,Chemicals,Conventional,Biomass,TJ/mt chemicals,-
Industry,Chemicals,Conventional,Electricity,TJ/mt chemicals,220
Industry,Chemicals,Conventional + CCS,Gas,TJ/mt chemicals,2100
Industry,Chemicals,Electrified,Electricity,TJ/mt chemicals,2444
Industry,Low temp. heating,Fossil boiler,Coal,TJ/PJ_heat,300
Industry,Low temp. heating,Fossil boiler,Oil,TJ/PJ_heat,300
Industry,Low temp. heating,Fossil boiler,Gas,TJ/PJ_heat,600
Industry,Low temp. heating,Biomass boiler,Biomass,TJ/PJ_heat,1200
Industry,Low temp. heating,Heat pump,Electricity,TJ/PJ_heat,1050
Industry,High temp. heating,Fossil furnace,Coal,TJ/PJ_heat,440
Industry,High temp. heating,Fossil furnace,Oil,TJ/PJ_heat,220
Industry,High temp. heating,Fossil furnace,Gas,TJ/PJ_heat,440
Industry,High temp. heating,Furnace + CCS,Gas,TJ/PJ_heat,550
Industry,High temp. heating,Biomass furnace,Biomass,TJ/PJ_heat,1100
Industry,High temp. heating,Electric furnace,Electricity,TJ/PJ_heat,1050
Industry,Other industry - feedstock,Feedstock,Coal,TJ/Unitless (2023=1),3000000
Industry,Other industry - feedstock,Feedstock,Oil,TJ/Unitless (2023=1),25000000
Industry,Other industry - feedstock,Feedstock,Gas,TJ/Unitless (2023=1),12000000
Industry,Other industry - energy,Conventional,Coal,TJ/Unitless (2023=1),-
Industry,Other industry - energy,Conventional,Oil,TJ/Unitless (2023=1),4000000
Industry,Other industry - energy,Conventional,Gas,TJ/Unitless (2023=1),2500000
Industry,Other industry - energy,Conventional,Biomass,TJ/Unitless (2023=1),2975000
Industry,Other industry - energy,Conventional,Electricity,TJ/Unitless (2023=1),34000000
Industry,Other industry - energy,Electrified,Electricity,TJ/Unitless (2023=1),38737500
Buildings,Residential heating,Fossil boiler,Coal,TJ/PJ_heat,125
Buildings,Residential heating,Fossil boiler,Oil,TJ/PJ_heat,250
Buildings,Residential heating,Fossil boiler,Gas,TJ/PJ_heat,875
Buildings,Residential heating,Biomass heating,Biomass,TJ/PJ_heat,5000
Buildings,Residential heating,Heat pump,Electricity,TJ/PJ_heat,333.3
Buildings,Residential heating,Electric heating,Electricity,TJ/PJ_heat,1111.1
Buildings,Residential heating,District heating,District heat,TJ/PJ_heat,1000
Buildings,Residential cooking,Conventional fossil,Coal,TJ/PJ_heat,333.3
Buildings,Residential cooking,Conventional fossil,Oil,TJ/PJ_heat,500
Buildings,Residential cooking,Conventional fossil,Gas,TJ/PJ_heat,833.3
Buildings,Residential cooking,Biomass cooking,Biomass,TJ/PJ_heat,3333.3
Buildings,Residential cooking,Electrified,Electricity,TJ/PJ_heat,1111.1
Buildings,Residential lighting,Conventional,Electricity,TJ/billion lumen,0.24
Buildings,Residential lighting,Conventional,Oil,TJ/billion lumen,-
Buildings,Residential lighting,Full LED,Electricity,TJ/billion lumen,0.04
Buildings,Other residential,Conventional,Coal,TJ/Unitless (2023=1),100000
Buildings,Other residential,Conventional,Oil,TJ/Unitless (2023=1),1000000
Buildings,Other residential,Conventional,Gas,TJ/Unitless (2023=1),1000000
Buildings,Other residential,Conventional,Electricity,TJ/Unitless (2023=1),19000000
Buildings,Other residential,Conventional,Biomass,TJ/Unitless (2023=1),1000000
Buildings,Other residential,Electrified,Electricity,TJ/Unitless (2023=1),20550000
Buildings,Building cooling,Low efficiency airco,Electricity,TJ/PJ_cooling,333.3
Buildings,Building cooling,High efficiency airco,Electricity,TJ/PJ_cooling,200
Buildings,Commercial heating,Fossil boiler,Coal,TJ/PJ_heat,125
Buildings,Commercial heating,Fossil boiler,Oil,TJ/PJ_heat,250
Buildings,Commercial heating,Fossil boiler,Gas,TJ/PJ_heat,875
Buildings,Commercial heating,Biomass heating,Biomass,TJ/PJ_heat,5000
Buildings,Commercial heating,Heat pump,Electricity,TJ/PJ_heat,333.3
Buildings,Commercial heating,Electric heating,Electricity,TJ/PJ_heat,1111.1
Buildings,Commercial heating,District heating,District heat,TJ/PJ_heat,1000
Buildings,Commercial lighting,Conventional,Electricity,TJ/billion lumen,0.24
Buildings,Commercial lighting,Conventional,Oil,TJ/billion lumen,-
Buildings,Commercial lighting,Full LED,Electricity,TJ/billion lumen,0.04
Buildings,Other commercial,Conventional,Coal,TJ/Unitless (2023=1),100000
Buildings,Other commercial,Conventional,Oil,TJ/Unitless (2023=1),3000000
Buildings,Other commercial,Conventional,Gas,TJ/Unitless (2023=1),1000000
Buildings,Other commercial,Conventional,Electricity,TJ/Unitless (2023=1),20000000
Buildings,Other commercial,Conventional,Biomass,TJ/Unitless (2023=1),300000
Buildings,Other commercial,Electrified,Electricity,TJ/Unitless (2023=1),22200000
